community,school_name,year,initiative,students_reached,modality,notes,health_authority,lat,lon
Chilliwack,Chilliwack Community School,2021,Rural Pre-Health Stream,40,Virtual,Workshop,Fraser Health,49.1579,-121.9515
Courtenay,Courtenay College,2021,REAP Presentation,35,Virtual,Career panel,Island Health,49.6866,-124.9936
Courtenay,Courtenay College,2021,REAP Presentation,148,In-person,Mentor Q&A,Island Health,49.6866,-124.9936
Dawson Creek,Dawson Creek Elem School,2021,High School Mentoring,125,Hybrid,Mentor Q&A,Northern Health,55.7606,-120.235
Kamloops,Kamloops Learning Centre,2021,REAP Presentation,77,Virtual,Application tips,Interior Health,50.6745,-120.3273
Kelowna,Kelowna College,2021,High School Mentoring,54,Hybrid,Workshop,Interior Health,49.888,-119.496
Kitimat,Kitimat Elem School,2021,REAP Presentation,64,Hybrid,Application tips,Northern Health,54.0524,-128.653
Powell River,Powell River High School,2021,High School Mentoring,27,Hybrid,Application tips,Vancouver Coastal,49.8354,-124.524
Prince Rupert,Prince Rupert Community School,2021,High School Mentoring,47,Virtual,Application tips,Northern Health,54.315,-130.32
Quesnel,Quesnel High School,2021,Rural Pre-Health Stream,15,In-person,Mentor Q&A,Northern Health,52.9784,-122.4927
Quesnel,Quesnel Secondary,2021,High School Mentoring,119,In-person,Application tips,Northern Health,52.9784,-122.4927
Salmon Arm,Salmon Arm Community School,2021,High School Mentoring,84,In-person,Mentor Q&A,Interior Health,50.7026,-119.272
Squamish,Squamish College,2021,Rural Pre-Health Stream,52,In-person,Workshop,Vancouver Coastal,49.7016,-123.1558
Squamish,Squamish Learning Centre,2021,High School Mentoring,49,In-person,Career panel,Vancouver Coastal,49.7016,-123.1558
Terrace,Terrace College,2021,High School Mentoring,30,Virtual,Career panel,Northern Health,54.5164,-128.6035
Trail,Trail Elem School,2021,Rural Pre-Health Stream,20,Hybrid,Application tips,Interior Health,49.0955,-117.7119
Vancouver,Vancouver Learning Centre,2021,High School Mentoring,74,Hybrid,Career panel,Vancouver Coastal,49.2827,-123.1207
Vernon,Vernon Elem School,2021,REAP Presentation,95,Hybrid,Career panel,Interior Health,50.267,-119.272
Vernon,Vernon Learning Centre,2021,Rural Pre-Health Stream,95,In-person,Career panel,Interior Health,50.267,-119.272
Victoria,Victoria Secondary,2021,REAP Presentation,64,Hybrid,Career panel,Island Health,48.4284,-123.3656
Whistler,Whistler Elem School,2021,Rural Pre-Health Stream,93,Virtual,Workshop,Vancouver Coastal,50.1163,-122.9574
Whistler,Whistler High School,2021,High School Mentoring,56,Virtual,Application tips,Vancouver Coastal,50.1163,-122.9574
Williams Lake,Williams Lake Elem School,2021,High School Mentoring,118,Hybrid,Mentor Q&A,Interior Health,52.1415,-122.1417
Williams Lake,Williams Lake High School,2021,REAP Presentation,125,In-person,Application tips,Interior Health,52.1415,-122.1417
Chilliwack,Chilliwack College,2022,High School Mentoring,77,In-person,Mentor Q&A,Fraser Health,49.1579,-121.9515
Courtenay,Courtenay College,2022,Rural Pre-Health Stream,45,Hybrid,Workshop,Island Health,49.6866,-124.9936
Courtenay,Courtenay College,2022,Rural Pre-Health Stream,48,Hybrid,Mentor Q&A,Island Health,49.6866,-124.9936
Dawson Creek,Dawson Creek Community School,2022,REAP Presentation,59,Hybrid,Mentor Q&A,Northern Health,55.7606,-120.235
Dawson Creek,Dawson Creek Elem School,2022,REAP Presentation,136,Hybrid,Workshop,Northern Health,55.7606,-120.235
Kamloops,Kamloops High School,2022,REAP Presentation,82,Hybrid,Application tips,Interior Health,50.6745,-120.3273
Kamloops,Kamloops Learning Centre,2022,Rural Pre-Health Stream,84,Hybrid,Workshop,Interior Health,50.6745,-120.3273
Kitimat,Kitimat Community School,2022,High School Mentoring,21,Virtual,Workshop,Northern Health,54.0524,-128.653
Kitimat,Kitimat Elem School,2022,REAP Presentation,16,Virtual,Application tips,Northern Health,54.0524,-128.653
Nanaimo,Nanaimo Learning Centre,2022,High School Mentoring,110,Virtual,Career panel,Island Health,49.1659,-123.9401
Powell River,Powell River High School,2022,REAP Presentation,30,Hybrid,Mentor Q&A,Vancouver Coastal,49.8354,-124.524
Prince Rupert,Prince Rupert Community School,2022,High School Mentoring,35,Virtual,Application tips,Northern Health,54.315,-130.32
Quesnel,Quesnel High School,2022,Rural Pre-Health Stream,88,In-person,Application tips,Northern Health,52.9784,-122.4927
Revelstoke,Revelstoke Elem School,2022,Rural Pre-Health Stream,21,Virtual,Application tips,Interior Health,50.9971,-118.1957
Squamish,Squamish High School,2022,High School Mentoring,82,Virtual,Application tips,Vancouver Coastal,49.7016,-123.1558
Terrace,Terrace Secondary,2022,High School Mentoring,101,Virtual,Workshop,Northern Health,54.5164,-128.6035
Trail,Trail Elem School,2022,Rural Pre-Health Stream,119,In-person,Application tips,Interior Health,49.0955,-117.7119
Vernon,Vernon Elem School,2022,REAP Presentation,126,Virtual,Workshop,Interior Health,50.267,-119.272
Victoria,Victoria Secondary,2022,High School Mentoring,73,In-person,Career panel,Island Health,48.4284,-123.3656
Whistler,Whistler Elem School,2022,REAP Presentation,42,In-person,Career panel,Vancouver Coastal,50.1163,-122.9574
Whistler,Whistler High School,2022,REAP Presentation,119,Hybrid,Workshop,Vancouver Coastal,50.1163,-122.9574
Chilliwack,Chilliwack College,2023,High School Mentoring,127,Hybrid,Mentor Q&A,Fraser Health,49.1579,-121.9515
Dawson Creek,Dawson Creek Community School,2023,Rural Pre-Health Stream,90,Hybrid,Workshop,Northern Health,55.7606,-120.235
Dawson Creek,Dawson Creek Elem School,2023,Rural Pre-Health Stream,128,In-person,Workshop,Northern Health,55.7606,-120.235
Dawson Creek,Dawson Creek Learning Centre,2023,REAP Presentation,100,Virtual,Workshop,Northern Health,55.7606,-120.235
Kamloops,Kamloops Learning Centre,2023,REAP Presentation,98,Virtual,Workshop,Interior Health,50.6745,-120.3273
Kamloops,Kamloops Secondary,2023,High School Mentoring,142,In-person,Application tips,Interior Health,50.6745,-120.3273
Nanaimo,Nanaimo Elem School,2023,REAP Presentation,102,Virtual,Mentor Q&A,Island Health,49.1659,-123.9401
Nanaimo,Nanaimo Learning Centre,2023,High School Mentoring,91,Hybrid,Workshop,Island Health,49.1659,-123.9401
Prince George,Prince George Secondary,2023,REAP Presentation,108,Virtual,Mentor Q&A,Northern Health,53.9171,-122.7497
Revelstoke,Revelstoke Secondary,2023,Rural Pre-Health Stream,71,In-person,Workshop,Interior Health,50.9971,-118.1957
Salmon Arm,Salmon Arm College,2023,REAP Presentation,139,Hybrid,Workshop,Interior Health,50.7026,-119.272
Salmon Arm,Salmon Arm Community School,2023,REAP Presentation,35,Virtual,Workshop,Interior Health,50.7026,-119.272
Squamish,Squamish High School,2023,High School Mentoring,38,Hybrid,Application tips,Vancouver Coastal,49.7016,-123.1558
Squamish,Squamish Learning Centre,2023,High School Mentoring,54,In-person,Mentor Q&A,Vancouver Coastal,49.7016,-123.1558
Vancouver,Vancouver High School,2023,Rural Pre-Health Stream,86,Virtual,Workshop,Vancouver Coastal,49.2827,-123.1207
Vancouver,Vancouver Learning Centre,2023,REAP Presentation,65,Hybrid,Application tips,Vancouver Coastal,49.2827,-123.1207
Vancouver,Vancouver Secondary,2023,High School Mentoring,72,Virtual,Career panel,Vancouver Coastal,49.2827,-123.1207
Vernon,Vernon Elem School,2023,Rural Pre-Health Stream,125,Virtual,Mentor Q&A,Interior Health,50.267,-119.272
Vernon,Vernon Learning Centre,2023,High School Mentoring,42,Hybrid,Application tips,Interior Health,50.267,-119.272
Whistler,Whistler Elem School,2023,Rural Pre-Health Stream,71,Virtual,Application tips,Vancouver Coastal,50.1163,-122.9574
Dawson Creek,Dawson Creek Community School,2024,High School Mentoring,122,Hybrid,Application tips,Northern Health,55.7606,-120.235
Kamloops,Kamloops Secondary,2024,High School Mentoring,69,Hybrid,Mentor Q&A,Interior Health,50.6745,-120.3273
Kitimat,Kitimat Elem School,2024,Rural Pre-Health Stream,117,Virtual,Workshop,Northern Health,54.0524,-128.653
Nanaimo,Nanaimo Elem School,2024,High School Mentoring,44,Hybrid,Mentor Q&A,Island Health,49.1659,-123.9401
